,time,targetX,endEffectorX,targetY,endEffectorY,targetZ,endEffectorZ
140,35.516,3.1464124033412766,2.25,-1.8651410212172745,-3.468,8.294121183005926,7.387
141,35.621,2.7315306890738693,1.705,-1.8275555585334817,-3.403,8.472697181890092,7.499
142,35.72,2.448256473564715,2.163,-1.7688841276780751,-3.0,8.48638760163741,7.705
143,35.831,3.1813381606178397,1.821,-1.7496904899834012,-2.794,8.409425279461503,7.835
144,35.942,2.955100194899859,1.755,-1.7337211629557459,-2.907,8.473683291548724,8.042
145,36.044,2.9823451149197457,0.084,-1.6879299149236144,-1.195,8.481436249343021,8.661
146,36.135,3.0042184418202575,-0.142,-1.6397673484644166,-0.727,8.478256011020603,8.138
147,36.226,3.0268615167665347,0.778,-1.6397673484644166,-1.786,8.483694176943937,6.926
148,36.339,2.95405722097118,2.373,-1.4840870786028988,-2.123,8.044125047875369,7.068
149,36.443,3.0779214704690463,3.365,-1.4511655150280127,-2.958,8.4885026750965,7.189
150,36.533,2.7383072457434467,2.967,-1.4083190586673469,-2.81,8.711473025686866,7.554
151,36.649,2.7383072457434467,2.566,-1.3395193291843253,-2.49,8.711473025686866,7.892
152,36.743,3.1129567954854567,0.562,-1.3395193291843253,-1.818,8.494807674404706,8.668
153,36.882,3.1131218405619365,1.627,-1.3395193291843253,-1.718,8.498595389563244,8.295
154,36.996,3.1611138975487094,1.92,-1.3395193291843253,-1.203,8.481262882666048,7.668
155,37.121,3.3761981447368616,2.798,-1.0763672862718698,-2.199,8.401718090469927,7.369
156,37.233,3.150219535567636,3.864,-1.0763672862718698,-2.395,8.494132237831215,6.978
157,37.325,5.1232391134097695,3.151,-1.0561907390576206,-2.3,8.119545100092912,7.373
158,37.459,3.150219535567636,2.097,-0.917679234542706,-1.555,8.494132237831215,7.8
159,37.622,3.419829683064372,2.986,-0.8514857244266764,-1.744,8.186477119805788,7.736
160,37.722,3.15110855988716,1.844,-0.8514857244266764,-1.557,8.484420930053814,8.446
161,37.843,3.1750955733133437,2.723,-0.7306823388131657,-1.443,8.437337314454387,7.92
162,37.928,3.315469878192839,3.137,-0.7100897938449703,-1.677,8.333017730651912,7.797
163,38.014,3.1383931543311463,3.628,-0.6557436897939973,-2.007,8.46023558514917,7.449
164,38.103,3.1241590566848374,3.914,-0.6020183016345586,-1.977,8.449626931451752,7.296
165,38.196,3.1771995513051055,2.798,-0.5682844269880876,-1.767,8.39128002958265,7.945
166,38.312,3.37486252785745,3.288,-0.468683803868276,-1.318,8.2494785702183,7.908
167,38.445,3.1088029299051496,2.537,-0.4198795247854835,-1.196,8.416616529222402,8.359
168,38.574,2.9897610478940044,3.009,-0.35975407023489714,-1.364,8.503674339731885,8.058
169,38.677,3.2562006656022335,3.242,-0.2687319244574954,-1.582,8.279082663978455,7.873
170,38.781,3.043906928446662,3.425,-0.258007843557668,-1.57,8.406740176368523,7.78
171,38.9,3.0222277722243622,3.757,-0.21953526894432493,-1.775,8.384977804141275,7.472
172,39.02,3.0222277722243622,3.405,-0.06716067208655972,-1.095,8.384977804141275,7.871
173,39.137,2.9683024140848167,3.259,-0.04498418614356131,-1.108,8.366069740883734,8.008
174,39.256,2.9603816373472083,3.157,-0.029908532524224915,-0.894,8.345182523641855,7.893
175,39.367,2.998305944668721,2.131,0.11420253797203601,-1.103,8.328586478388445,8.435
176,39.47,2.9520933232544144,2.631,0.1733398338200318,-1.189,8.488297408950961,8.296
177,39.585,3.1744381668742565,3.229,0.22217298340940733,-1.304,8.250681041489795,7.968
178,39.687,3.1744381668742565,3.201,0.23916590112500505,-1.25,8.250681041489795,7.997
179,39.802,2.7879303364271943,3.098,0.2711111166590846,-0.704,8.278109036720569,8.149
180,39.909,2.7650320657324103,3.044,0.3054880162249043,-0.768,8.277631931625534,8.158
181,40.011,2.7510989326373285,3.054,0.43969650296319934,-0.599,8.266080163205373,8.173
182,40.146,2.7428771913484926,2.911,0.49189437886524706,-0.648,8.24217220498389,8.183
183,40.245,3.1744381668742565,2.512,0.5687004247420333,-0.598,8.250681041489795,8.351
184,40.338,3.0778174504628617,2.76,0.5837117758694349,-0.616,8.140924678697402,8.348
185,40.432,2.98931722920095,3.092,0.6185768494556577,-0.682,8.081735908244912,8.07
186,40.533,2.5588352878726752,3.604,0.6185768494556577,-0.697,8.147448813485303,7.839
187,40.676,2.5260689859245065,2.707,0.7493746795298986,-0.262,8.130185653258897,8.233
188,40.804,2.5208984981504203,2.726,0.7796729638929938,-0.172,8.124904210811547,8.218
189,40.919,2.4379903924209962,2.655,0.8267082682997012,0.0,8.084708106554963,8.237
