,time,inputAngle2,theta2,inputAngle3,theta3,inputAngle4,theta4
68,20.252,-1.3937182324686088,-1.207403193299666,-0.5912256946729333,-0.7853981633974483,-0.034701754615904565,0.06901464207530728
69,20.351,-1.4063951327400321,-1.1951560913218313,-0.6127494253799335,-0.8926770190458511,-0.048672506940899946,0.04802868640445079
70,20.446,-1.421579037244445,-1.202665555469733,-0.639401293330439,-0.8788749445560378,-0.06608241267226789,-0.0009569375069444774
71,20.543,-1.4333835869100426,-1.218487602120755,-0.6608641262713293,-0.9481255380378293,-0.08019419217627455,0.010838285272034565
72,20.62,-1.4466530479692425,-1.2753554896511765,-0.6858800153837568,-1.0056468867881372,-0.09674845186719902,0.10688026071672052
73,20.709,-1.4555939694080424,-1.2535300472730704,-0.7033383304661727,-1.089132649240035,-0.10837127564705892,-0.014381411146854761
74,20.804,-1.4669357833625025,-1.2583047670603775,-0.7262855649636073,-1.124690777851493,-0.12373826330711957,-0.04800317718528646
75,20.894,-1.4775974431883208,-1.2679114584199251,-0.748796327100779,-1.124690777851493,-0.13891523613520593,-0.052906246914149024
76,20.968,-1.4864268067914943,-1.3072324432118587,-0.7682419452966108,-1.1505996131856213,-0.15210984939427205,-0.06180153926275089
77,21.057,-1.496036538878827,-1.3072324432118587,-0.790378818279728,-1.200890259338339,-0.16722872387358798,-0.06180153926275089
78,21.141,-1.5038490049606368,-1.3182420510168371,-0.8092549011872752,-1.2141761908434647,-0.18020577455918083,-0.11065722117389565
79,21.225,-1.5111495328024704,-1.3415643935179014,-0.8277402279494631,-1.2548260548419161,-0.19299269523360266,-0.10787993270623164
80,21.328,-1.5205428622089727,-1.3378170877177937,-0.8529862312442288,-1.2827408797442708,-0.21058621033278552,-0.13331058658594097
81,21.419,-1.5272413643602158,-1.3465615756858005,-0.8722317239155859,-1.321544185409683,-0.22410266612443863,-0.17299758370567742
82,21.508,-1.5335384428517111,-1.3426936985149538,-0.8915154795722177,-1.3258176636680326,-0.2377403074778607,-0.20179291102702068
83,21.602,-1.5399362785850887,-1.3426936985149538,-0.912612402991782,-1.3258176636680326,-0.25277248472767117,-0.20179291102702068
84,21.698,-1.5463769940710563,-1.355980926393238,-0.9358874242827528,-1.366778347202348,-0.2694984368814475,-0.21481540040165847
85,21.785,-1.551354151566634,-1.3397056595989996,-0.9558051536871621,-1.37014344947501,-0.28393512529110254,-0.3190980407236379
86,21.892,-1.5553564454824234,-1.3542460218188073,-0.973546626568303,-1.413379454068306,-0.2968944009818964,-0.30721019217683443
87,21.99,-1.5597335845187046,-1.3542460218188073,-0.995548669837627,-1.4288992721907328,-0.31310246284841126,-0.34090529952285076
88,22.114,-1.564009604664373,-1.3258176636680326,-1.0214008668498922,-1.4332095903245468,-0.33234998857807935,-0.3999754050508051
89,22.222,-1.567023306350072,-1.3360737143096995,-1.044736686552266,-1.4332095903245468,-0.34992350479840895,-0.42590707208221157
90,22.331,-1.5689741991422474,-1.33105321792444,-1.0652507184092046,-1.4519559822271315,-0.365537666669088,-0.4437610884630052
91,22.428,-1.570394502582013,-1.3473197256542635,-1.0895880648398908,-1.468216474376602,-0.38427528923793286,-0.5115320481912591
92,22.52,-1.5707355548844706,-1.3370531459259951,-1.1025489573391274,-1.48648959426869,-0.3943536505322441,-0.5554937352655438
93,22.597,-1.5706995537539115,-1.3547113544981102,-1.1209475067751085,-1.48648959426869,-0.4087856934706292,-0.5493292734084592
94,22.674,-1.570159156438817,-1.313472611823808,-1.136769970313559,-1.501463193106688,-0.42132034504244287,-0.7209713239718947
95,22.771,-1.569068009450698,-1.299849476456476,-1.1532849858584724,-1.503331302272992,-0.43453183372372556,-0.7702935720185504
